,month,0
310,2015-08,0
311,2015-02,0
312,2015-12,0
313,2014-05,0
314,2014-10,0
315,2016-04,0
316,2015-06,0
317,2015-02,0
318,2017-01,0
319,2016-12,0
320,2015-12,0
321,2014-09,0
322,2016-10,0
323,2015-10,0
324,2017-01,0
325,2015-03,0
326,2014-10,0
327,2016-12,0
328,2015-06,0
329,2015-03,0
330,2015-01,0
331,2014-12,0
332,2015-03,0
333,2016-04,0
334,2015-05,0
335,2015-09,0
336,2014-12,0
337,2016-03,0
338,2016-07,0
339,2016-05,0
340,2015-09,0
341,2016-09,1
342,2015-05,0
343,2014-09,0
344,2017-01,1
345,2015-11,0
346,2015-07,0
347,2016-04,0
348,2016-06,0
349,2015-06,0
350,2015-12,0
351,2016-05,0
352,2016-03,0
353,2014-05,2
354,2015-08,0
355,2015-04,0
356,2016-11,0
357,2016-12,0
358,2016-03,0
359,2016-11,0
360,2016-08,0
361,2014-09,0
362,2015-07,0
363,2016-10,0
364,2016-10,0
365,2015-01,0
366,2015-02,0
367,2014-10,0
368,2016-05,0
369,2016-04,0
370,2015-02,0
371,2015-10,0
372,2014-10,0
373,2014-11,0
374,2016-05,0
375,2016-04,0
376,2015-11,0
377,2015-10,0
378,2014-10,2
379,2015-03,0
380,2016-09,1
381,2014-04,0
382,2016-07,0
383,2014-10,0
384,2015-03,0
385,2016-08,0
386,2016-07,2
387,2015-05,0
388,2015-04,0
389,2016-11,0
390,2015-02,0
391,2015-02,0
392,2016-12,0
393,2016-05,0
394,2014-08,0
395,2015-12,0
396,2016-02,2
397,2016-07,0
398,2015-05,0
399,2016-06,0
400,2014-10,0
401,2016-12,0
402,2015-06,0
403,2015-02,0
404,2015-11,0
405,2014-05,0
406,2014-05,0
407,2015-06,0
408,2015-01,0
409,2014-07,0
410,2015-09,0
411,2016-07,2
412,2014-09,0
413,2015-06,0
414,2015-02,0
415,2015-09,0
416,2014-12,0
417,2016-03,0
418,2014-08,0
419,2014-10,0
420,2015-03,0
421,2015-04,0
422,2015-01,0
423,2014-09,0
424,2016-03,0
425,2017-03,0
426,2015-01,0
427,2016-07,2
428,2014-11,0
429,2016-11,0
430,2016-07,0
431,2016-02,0
432,2014-11,0
433,2014-12,0
434,2014-08,0
435,2014-09,0
436,2014-12,0
437,2016-02,0
438,2015-07,0
439,2016-04,0
440,2015-04,0
441,2015-06,0
442,2015-04,0
443,2017-02,0
444,2015-07,0
445,2014-09,0
446,2016-10,0
447,2014-08,0
448,2014-12,0
449,2016-06,0
450,2014-11,0
451,2016-11,0
452,2016-08,0
453,2015-08,0
454,2016-06,0
455,2016-07,0
456,2014-09,0
457,2016-11,0
458,2015-12,0
459,2014-11,0
460,2014-07,0
461,2016-08,0
462,2015-08,0
463,2015-04,0
464,2017-03,1
465,2016-12,0
466,2014-12,0
467,2016-07,0
468,2014-10,0
469,2015-07,0
470,2016-11,0
471,2014-05,0
472,2014-10,0
473,2016-01,0
474,2015-09,0
475,2016-08,0
476,2016-10,2
477,2015-03,0
478,2016-06,0
479,2016-11,0
480,2015-11,0
481,2016-08,0
482,2015-01,0
483,2015-07,0
484,2016-10,0
485,2015-05,0
486,2016-05,0
487,2016-07,0
488,2014-11,0
489,2015-03,0
490,2016-01,1
491,2014-12,0
492,2016-06,0
493,2016-10,0
494,2016-05,0
495,2015-03,0
496,2016-04,0
497,2015-07,0
498,2016-10,0
499,2016-06,0
500,2016-04,0
501,2015-10,0
502,2015-10,0
503,2017-03,0
504,2015-03,0
505,2015-08,0
506,2017-03,0
507,2014-11,2
508,2014-10,0
509,2016-01,0
510,2015-08,0
511,2016-01,0
512,2016-11,0
513,2016-10,0
514,2015-01,0
515,2015-05,0
516,2014-09,0
517,2017-02,0
518,2016-05,0
519,2017-01,0
520,2016-09,0
521,2014-05,0
522,2015-09,0
523,2016-11,0
524,2016-11,0
525,2015-02,0
526,2014-05,0
527,2016-05,0
528,2016-11,0
529,2016-02,0
530,2017-02,0
531,2016-10,0
532,2014-10,0
533,2016-11,0
534,2016-10,0
535,2016-08,0
536,2016-06,0
537,2015-02,0
538,2016-07,0
539,2015-09,0
540,2016-12,0
541,2016-02,0
542,2015-10,0
543,2016-02,0
544,2016-11,0
545,2016-08,2
546,2015-04,0
547,2016-10,0
548,2016-02,0
549,2016-09,0
550,2014-07,0
551,2015-07,0
552,2017-02,0
553,2015-04,0
554,2015-12,0
555,2015-05,0
556,2016-11,1
557,2014-11,0
558,2015-05,0
559,2016-03,0
560,2016-07,0
561,2015-03,0
562,2014-11,0
563,2015-05,0
564,2016-02,0
565,2016-03,0
566,2016-10,0
567,2015-07,0
568,2014-10,0
569,2015-08,0
570,2015-10,0
571,2017-02,0
572,2015-09,0
573,2016-07,0
574,2015-08,0
575,2014-09,0
576,2016-09,0
577,2016-06,2
578,2016-12,0
579,2014-06,0
580,2016-09,0
581,2015-02,0
582,2016-04,0
583,2017-01,0
584,2016-11,0
585,2015-03,0
586,2015-05,0
587,2016-08,0
588,2016-09,0
589,2015-01,0
590,2015-11,0
591,2016-09,1
592,2014-08,0
593,2016-10,0
594,2016-03,0
595,2015-04,0
596,2016-09,0
597,2015-05,0
598,2014-11,0
599,2017-02,0
600,2015-11,0
601,2015-08,0
602,2014-11,0
603,2014-05,0
604,2015-01,0
605,2014-05,0
606,2016-11,0
607,2016-01,0
608,2016-04,0
609,2016-06,0
610,2015-08,0
611,2015-04,0
612,2015-10,0
613,2016-11,0
614,2015-10,0
615,2016-11,1
616,2016-11,1
617,2015-01,0
618,2014-11,0
619,2017-01,0
620,2015-10,0
621,2016-09,0
622,2016-06,0
623,2017-01,0
624,2015-02,0
625,2015-09,0
626,2014-11,0
627,2017-03,0
628,2016-07,0
629,2015-07,0
630,2016-02,2
631,2016-11,0
632,2014-09,0
633,2014-12,0
634,2015-03,0
635,2015-10,0
636,2015-05,0
637,2017-02,0
638,2014-12,0
639,2016-11,0
640,2015-02,2
641,2015-10,0
642,2016-06,0
643,2017-03,2
644,2015-01,0
645,2015-03,0
646,2016-08,0
647,2016-06,0
648,2015-06,0
649,2016-09,0
650,2016-04,0
651,2017-02,0
652,2016-11,0
653,2014-12,0
654,2015-01,0
655,2016-07,0
656,2015-06,0
657,2014-11,0
658,2016-12,0
659,2017-01,0
660,2016-06,0
661,2016-08,2
662,2016-09,1
663,2016-07,0
664,2015-07,0
665,2016-02,0
666,2014-12,0
667,2017-01,0
668,2016-10,0
669,2016-03,0
670,2015-10,0
671,2014-10,0
672,2016-02,0
673,2015-09,0
674,2016-10,0
675,2017-01,0
676,2016-05,0
677,2014-08,0
678,2015-06,2
679,2014-10,0
680,2016-07,0
681,2016-10,0
682,2015-09,0
683,2016-11,0
684,2016-01,0
685,2015-06,0
686,2015-05,0
687,2016-04,0
688,2016-10,0
689,2015-11,0
690,2014-08,0
691,2016-11,0
692,2016-10,0
693,2014-10,0
694,2014-11,0
695,2016-06,0
696,2016-09,0
697,2014-07,0
698,2015-03,0
699,2014-09,0
700,2017-02,0
701,2015-01,0
702,2016-08,0
703,2015-08,0
704,2015-03,0
705,2016-12,1
706,2016-01,0
707,2016-10,0
708,2016-04,0
709,2015-05,0
710,2015-11,0
711,2015-06,0
712,2015-01,0
713,2015-09,0
714,2016-06,0
715,2016-12,0
716,2016-10,0
717,2016-01,0
718,2014-07,2
719,2014-09,2
720,2016-06,0
721,2016-09,0
722,2014-12,0
723,2016-09,0
724,2016-11,0
725,2015-05,0
726,2016-10,0
727,2016-12,0
728,2016-07,0
729,2016-11,1
730,2016-08,2
731,2014-12,0
732,2016-11,0
733,2014-12,0
734,2017-03,0
735,2015-11,2
736,2015-11,0
737,2016-04,0
738,2016-05,0
739,2016-05,0
740,2016-10,0
741,2016-11,0
742,2015-04,0
743,2014-12,0
744,2016-12,0
745,2015-06,0
746,2015-04,0
747,2015-06,0
748,2014-12,0
749,2015-02,0
750,2017-02,0
751,2015-06,0
752,2016-12,0
753,2015-04,0
754,2016-12,0
755,2016-03,0
756,2015-07,0
757,2016-11,0
758,2016-09,0
759,2015-02,0
760,2014-10,0
761,2015-08,0
762,2016-04,0
763,2015-08,0
764,2016-06,0
765,2015-09,0
766,2015-02,0
767,2016-10,2
768,2014-09,0
769,2015-05,0
770,2016-07,0
771,2015-01,0
772,2016-06,0
773,2014-10,0
774,2015-05,0
775,2014-12,0
776,2015-09,0
777,2016-02,0
778,2015-02,0
779,2015-02,0
780,2015-02,0
781,2016-09,0
782,2015-02,0
783,2015-08,0
784,2015-08,0
785,2014-04,0
786,2014-11,0
787,2014-12,0
788,2016-10,0
789,2017-01,0
790,2017-01,0
791,2014-08,2
792,2016-12,0
793,2015-09,0
794,2014-10,2
795,2015-02,0
796,2014-09,0
797,2015-01,0
798,2016-10,0
799,2016-12,1
800,2015-03,0
801,2017-02,0
802,2015-08,0
803,2015-07,0
804,2017-03,0
805,2014-12,0
806,2014-07,0
807,2015-01,0
808,2016-11,0
809,2016-09,0
810,2016-08,0
811,2016-02,2
812,2016-12,0
813,2015-06,0
814,2015-11,0
815,2014-09,0
816,2015-06,0
817,2016-01,0
818,2016-10,0
819,2014-12,0
820,2017-01,2
821,2015-05,2
822,2015-09,0
823,2014-12,0
824,2016-12,0
825,2016-03,0
826,2015-06,0
827,2016-04,0
828,2015-06,0
829,2014-10,0
830,2014-12,0
831,2016-12,0
832,2016-12,0
833,2015-02,0
834,2016-06,0
